longitude,latitude,time,r
76.9000015258789,28.649999618530273,2008-01-01 00:00:00,66.56569
76.9000015258789,28.649999618530273,2008-01-01 01:00:00,68.24776
76.9000015258789,28.649999618530273,2008-01-01 02:00:00,70.12209
76.9000015258789,28.649999618530273,2008-01-01 03:00:00,63.721428
76.9000015258789,28.649999618530273,2008-01-01 04:00:00,52.2874
76.9000015258789,28.649999618530273,2008-01-01 05:00:00,42.81601
76.9000015258789,28.649999618530273,2008-01-01 06:00:00,34.364403
76.9000015258789,28.649999618530273,2008-01-01 07:00:00,28.606083
76.9000015258789,28.649999618530273,2008-01-01 08:00:00,25.438509
76.9000015258789,28.649999618530273,2008-01-01 09:00:00,23.792055
76.9000015258789,28.649999618530273,2008-01-01 10:00:00,23.451654
76.9000015258789,28.649999618530273,2008-01-01 11:00:00,26.251766
76.9000015258789,28.649999618530273,2008-01-01 12:00:00,32.143967
76.9000015258789,28.649999618530273,2008-01-01 13:00:00,36.809868
76.9000015258789,28.649999618530273,2008-01-01 14:00:00,41.326225
76.9000015258789,28.649999618530273,2008-01-01 15:00:00,45.20736
76.9000015258789,28.649999618530273,2008-01-01 16:00:00,48.508812
76.9000015258789,28.649999618530273,2008-01-01 17:00:00,51.645054
76.9000015258789,28.649999618530273,2008-01-01 18:00:00,54.735718
76.9000015258789,28.649999618530273,2008-01-01 19:00:00,58.23799
76.9000015258789,28.649999618530273,2008-01-01 20:00:00,60.921314
76.9000015258789,28.649999618530273,2008-01-01 21:00:00,62.795654
76.9000015258789,28.649999618530273,2008-01-01 22:00:00,68.52406
76.9000015258789,28.649999618530273,2008-01-01 23:00:00,70.36137
76.9000015258789,28.649999618530273,2008-01-02 00:00:00,72.71711
76.9000015258789,28.649999618530273,2008-01-02 01:00:00,74.84212
76.9000015258789,28.649999618530273,2008-01-02 02:00:00,77.256256
76.9000015258789,28.649999618530273,2008-01-02 03:00:00,70.104996
76.9000015258789,28.649999618530273,2008-01-02 04:00:00,56.49469
76.9000015258789,28.649999618530273,2008-01-02 05:00:00,45.432392
76.9000015258789,28.649999618530273,2008-01-02 06:00:00,34.966866
76.9000015258789,28.649999618530273,2008-01-02 07:00:00,29.033363
76.9000015258789,28.649999618530273,2008-01-02 08:00:00,25.97973
76.9000015258789,28.649999618530273,2008-01-02 09:00:00,24.796164
76.9000015258789,28.649999618530273,2008-01-02 10:00:00,25.42569
76.9000015258789,28.649999618530273,2008-01-02 11:00:00,28.670176
76.9000015258789,28.649999618530273,2008-01-02 12:00:00,35.716034
76.9000015258789,28.649999618530273,2008-01-02 13:00:00,41.709354
76.9000015258789,28.649999618530273,2008-01-02 14:00:00,45.375423
76.9000015258789,28.649999618530273,2008-01-02 15:00:00,47.799526
76.9000015258789,28.649999618530273,2008-01-02 16:00:00,50.247845
76.9000015258789,28.649999618530273,2008-01-02 17:00:00,52.94114
76.9000015258789,28.649999618530273,2008-01-02 18:00:00,55.702793
76.9000015258789,28.649999618530273,2008-01-02 19:00:00,58.880337
76.9000015258789,28.649999618530273,2008-01-02 20:00:00,62.019424
76.9000015258789,28.649999618530273,2008-01-02 21:00:00,65.48467
76.9000015258789,28.649999618530273,2008-01-02 22:00:00,71.36405
76.9000015258789,28.649999618530273,2008-01-02 23:00:00,74.32796
76.9000015258789,28.649999618530273,2008-01-03 00:00:00,77.33174
76.9000015258789,28.649999618530273,2008-01-03 01:00:00,79.74587
76.9000015258789,28.649999618530273,2008-01-03 02:00:00,81.50057
76.9000015258789,28.649999618530273,2008-01-03 03:00:00,76.47433
76.9000015258789,28.649999618530273,2008-01-03 04:00:00,65.33655
76.9000015258789,28.649999618530273,2008-01-03 05:00:00,56.53599
76.9000015258789,28.649999618530273,2008-01-03 06:00:00,48.63842
76.9000015258789,28.649999618530273,2008-01-03 07:00:00,41.511383
76.9000015258789,28.649999618530273,2008-01-03 08:00:00,36.85972
76.9000015258789,28.649999618530273,2008-01-03 09:00:00,34.42422
76.9000015258789,28.649999618530273,2008-01-03 10:00:00,32.451607
76.9000015258789,28.649999618530273,2008-01-03 11:00:00,35.167686
76.9000015258789,28.649999618530273,2008-01-03 12:00:00,42.13379
76.9000015258789,28.649999618530273,2008-01-03 13:00:00,49.29786
76.9000015258789,28.649999618530273,2008-01-03 14:00:00,53.20178
76.9000015258789,28.649999618530273,2008-01-03 15:00:00,54.191647
76.9000015258789,28.649999618530273,2008-01-03 16:00:00,55.69425
76.9000015258789,28.649999618530273,2008-01-03 17:00:00,57.490253
76.9000015258789,28.649999618530273,2008-01-03 18:00:00,58.732216
76.9000015258789,28.649999618530273,2008-01-03 19:00:00,60.19921
76.9000015258789,28.649999618530273,2008-01-03 20:00:00,62.23734
76.9000015258789,28.649999618530273,2008-01-03 21:00:00,64.867966
76.9000015258789,28.649999618530273,2008-01-03 22:00:00,72.40804
76.9000015258789,28.649999618530273,2008-01-03 23:00:00,74.80794
76.9000015258789,28.649999618530273,2008-01-04 00:00:00,77.76899
76.9000015258789,28.649999618530273,2008-01-04 01:00:00,79.9296
76.9000015258789,28.649999618530273,2008-01-04 02:00:00,82.61435
76.9000015258789,28.649999618530273,2008-01-04 03:00:00,75.078545
76.9000015258789,28.649999618530273,2008-01-04 04:00:00,63.319786
76.9000015258789,28.649999618530273,2008-01-04 05:00:00,53.674637
76.9000015258789,28.649999618530273,2008-01-04 06:00:00,44.371315
76.9000015258789,28.649999618530273,2008-01-04 07:00:00,37.18303
76.9000015258789,28.649999618530273,2008-01-04 08:00:00,32.14539
76.9000015258789,28.649999618530273,2008-01-04 09:00:00,29.070395
