longitude,latitude,time,u10,v10,msl,msdwlwrf,ssr
76.9000015258789,28.649999618530273,2008-01-03 01:00:00,1.4735792,-1.6198982,102082.32,246.77225,0.0
76.9000015258789,28.649999618530273,2008-01-03 02:00:00,1.5150199,-1.5478559,102157.87,245.90512,4027.75
76.9000015258789,28.649999618530273,2008-01-03 03:00:00,1.4040399,-1.1051514,102206.84,247.70523,299821.38
76.9000015258789,28.649999618530273,2008-01-03 04:00:00,1.2334256,-0.7485813,102280.69,253.34705,875873.4
76.9000015258789,28.649999618530273,2008-01-03 05:00:00,1.3874636,-0.7659981,102321.71,261.7659,1402663.2
76.9000015258789,28.649999618530273,2008-01-03 06:00:00,1.108093,-1.2375195,102255.13,270.38596,1784322.5
76.9000015258789,28.649999618530273,2008-01-03 07:00:00,0.6750888,-1.6472901,102135.56,277.9633,1973979.2
76.9000015258789,28.649999618530273,2008-01-03 08:00:00,0.61626333,-1.804675,102026.37,282.4782,1959019.1
76.9000015258789,28.649999618530273,2008-01-03 09:00:00,0.92818,-1.8312753,101946.8,285.66864,1739707.8
76.9000015258789,28.649999618530273,2008-01-03 10:00:00,1.239288,-1.7967583,101831.055,286.8431,1332820.0
76.9000015258789,28.649999618530273,2008-01-03 11:00:00,1.1343725,-1.2541447,101864.22,286.18454,802312.2
76.9000015258789,28.649999618530273,2008-01-03 12:00:00,2.3547487,-1.5464308,101851.125,282.41235,237679.5
76.9000015258789,28.649999618530273,2008-01-03 13:00:00,2.1513863,-1.2364111,101895.055,276.8254,442.625
76.9000015258789,28.649999618530273,2008-01-03 14:00:00,2.0685053,-1.3098785,101956.445,273.1959,0.0
76.9000015258789,28.649999618530273,2008-01-03 15:00:00,1.8631213,-1.4709051,102001.445,273.85083,0.0
76.9000015258789,28.649999618530273,2008-01-03 16:00:00,1.7185843,-1.6034313,102009.39,280.34515,0.0
76.9000015258789,28.649999618530273,2008-01-03 17:00:00,1.5942625,-1.7411827,102025.54,282.21112,0.0
76.9000015258789,28.649999618530273,2008-01-03 18:00:00,1.5129983,-1.7275659,101999.26,278.245,0.0
76.9000015258789,28.649999618530273,2008-01-03 19:00:00,1.5433208,-1.7521079,101974.24,280.1512,0.0
76.9000015258789,28.649999618530273,2008-01-03 20:00:00,1.5441294,-1.6078647,101965.37,271.03357,0.0
76.9000015258789,28.649999618530273,2008-01-03 21:00:00,1.727479,-1.4764467,101941.99,271.50555,0.0
76.9000015258789,28.649999618530273,2008-01-03 22:00:00,1.7351606,-0.5759963,101920.37,271.13965,0.0
76.9000015258789,28.649999618530273,2008-01-03 23:00:00,1.9205317,-0.40657791,101938.75,260.47433,0.0
76.9000015258789,28.649999618530273,2008-01-04 00:00:00,2.0199893,-0.49033707,101931.86,256.11676,0.0
76.9000015258789,28.649999618530273,2008-01-04 01:00:00,2.0549612,-0.5778963,101978.66,252.5348,0.0
76.9000015258789,28.649999618530273,2008-01-04 02:00:00,2.1275327,-0.57441294,102033.49,253.14948,3806.375
76.9000015258789,28.649999618530273,2008-01-04 03:00:00,2.7450995,-0.7734399,102147.01,257.99005,282559.75
76.9000015258789,28.649999618530273,2008-01-04 04:00:00,2.3959873,-0.9092912,102186.72,260.67923,860824.75
76.9000015258789,28.649999618530273,2008-01-04 05:00:00,2.5021157,-1.1722854,102232.055,268.3846,1387083.5
76.9000015258789,28.649999618530273,2008-01-04 06:00:00,2.493019,-1.5055804,102166.94,277.33032,1769229.6
76.9000015258789,28.649999618530273,2008-01-04 07:00:00,2.4337893,-1.8160751,102091.44,283.5173,1961320.8
76.9000015258789,28.649999618530273,2008-01-04 08:00:00,2.3705163,-2.1368618,101983.84,287.9005,1949281.8
76.9000015258789,28.649999618530273,2008-01-04 09:00:00,2.0802298,-2.427723,101881.19,290.36652,1734883.4
76.9000015258789,28.649999618530273,2008-01-04 10:00:00,1.6823996,-2.3355718,101838.04,290.7068,1337998.5
76.9000015258789,28.649999618530273,2008-01-04 11:00:00,1.1307337,-1.4908552,101790.47,289.30182,804835.06
76.9000015258789,28.649999618530273,2008-01-04 12:00:00,2.469974,-1.46473,101807.68,284.62958,242946.5
76.9000015258789,28.649999618530273,2008-01-04 13:00:00,2.3244264,-1.2121859,101867.47,281.55618,619.625
76.9000015258789,28.649999618530273,2008-01-04 14:00:00,2.2484183,-1.6395317,101906.016,282.7819,0.0
76.9000015258789,28.649999618530273,2008-01-04 15:00:00,1.9243726,-1.9411597,101933.555,279.73413,0.0
76.9000015258789,28.649999618530273,2008-01-04 16:00:00,1.8362354,-2.0412273,101975.26,281.18298,0.0
76.9000015258789,28.649999618530273,2008-01-04 17:00:00,1.9961356,-1.8653173,101984.766,285.59183,0.0
76.9000015258789,28.649999618530273,2008-01-04 18:00:00,2.3790069,-1.5324974,101988.2,269.73834,0.0
76.9000015258789,28.649999618530273,2008-01-04 19:00:00,2.3707185,-1.3816042,101947.234,265.7137,0.0
76.9000015258789,28.649999618530273,2008-01-04 20:00:00,2.1776657,-1.461405,101920.37,266.03934,0.0
